,Model,Target,Accuracy,Precision,Recall,F1-score,Data
28,AdaBoost,nv,0.6630680391664574,0.8110661268556005,0.9024024024024024,0.8542999289267946,Test
29,AdaBoost,mel,0.6630680391664574,0.3137254901960784,0.14349775784753363,0.19692307692307692,Test
30,AdaBoost,bkl,0.6630680391664574,0.22105263157894736,0.0963302752293578,0.134185303514377,Test
31,AdaBoost,bcc,0.6630680391664574,0.3448275862068966,0.0970873786407767,0.15151515151515152,Test
32,AdaBoost,akiec,0.6630680391664574,0.18705035971223022,0.4,0.2549019607843137,Test
33,AdaBoost,vasc,0.6630680391664574,0.1076923076923077,0.25,0.15053763440860216,Test
34,AdaBoost,df,0.6630680391664574,0.1875,0.6521739130434783,0.2912621359223301,Test
35,Linear Discriminant Analysis,nv,0.6782575947778057,0.8517985611510791,0.8888888888888888,0.8699485672299779,Test
36,Linear Discriminant Analysis,mel,0.6782575947778057,0.30097087378640774,0.4170403587443946,0.3496240601503759,Test
37,Linear Discriminant Analysis,bkl,0.6782575947778057,0.85,0.1559633027522936,0.2635658914728682,Test
38,Linear Discriminant Analysis,bcc,0.6782575947778057,0.35714285714285715,0.0970873786407767,0.15267175572519082,Test
39,Linear Discriminant Analysis,akiec,0.6782575947778057,0.21487603305785125,0.4,0.2795698924731183,Test
40,Linear Discriminant Analysis,vasc,0.6782575947778057,0.06578947368421052,0.17857142857142858,0.09615384615384615,Test
41,Linear Discriminant Analysis,df,0.6782575947778057,0.4642857142857143,0.5652173913043478,0.5098039215686274,Test
42,Support Vector Machine,nv,0.7142857142857143,0.7577530719719134,0.9722222222222222,0.8516935218678067,Test
43,Support Vector Machine,mel,0.7142857142857143,0.25333333333333335,0.08520179372197309,0.12751677852348994,Test
44,Support Vector Machine,bkl,0.7142857142857143,0.4739583333333333,0.41743119266055045,0.4439024390243902,Test
45,Support Vector Machine,bcc,0.7142857142857143,1.0,0.0,0.0,Test
46,Support Vector Machine,akiec,0.7142857142857143,1.0,0.0,0.0,Test
47,Support Vector Machine,vasc,0.7142857142857143,1.0,0.0,0.0,Test
48,Support Vector Machine,df,0.7142857142857143,0.5,0.34782608695652173,0.41025641025641024,Test
49,Ridge Classifier,nv,0.7091388400702988,0.7578397212543554,0.9797297297297297,0.8546168958742633,Test
50,Ridge Classifier,mel,0.7091388400702988,0.3614457831325301,0.13452914798206278,0.19607843137254902,Test
51,Ridge Classifier,bkl,0.7091388400702988,0.45989304812834225,0.3944954128440367,0.4246913580246913,Test
52,Ridge Classifier,bcc,0.7091388400702988,1.0,0.0,0.0,Test
53,Ridge Classifier,akiec,0.7091388400702988,1.0,0.0,0.0,Test
54,Ridge Classifier,vasc,0.7091388400702988,1.0,0.0,0.0,Test
55,Ridge Classifier,df,0.7091388400702988,1.0,0.0,0.0,Test
