models,Accuracy,Accuracy_Grid_Optimizer,Parameters Grid
Decision Forest,0.7591,0.718,"criterion gini, max_depth: 20, max_features: sqrt, min_samples_leaf: 1, min_samples_split: 2, splitter: random"
Random Forest,0.7591,0.7274,"criterion entropy, n_estimator : 100, max_depth: 10, max_features: sqrt"
